Neuron 0 → max=20.5010, min=0.0000, thr=18.4509
   Video 20, Frame 65, Value 22.1496
   Video 20, Frame 66, Value 22.0524
   Video 20, Frame 67, Value 21.2731
   Video 20, Frame 68, Value 22.7017
   Video 20, Frame 69, Value 23.0148
   Video 20, Frame 70, Value 23.0130
   Video 20, Frame 71, Value 22.5349
   Video 20, Frame 72, Value 22.8959
   Video 20, Frame 73, Value 23.3419
   Video 20, Frame 74, Value 23.2194
   Video 20, Frame 75, Value 23.3118
   Video 20, Frame 76, Value 22.5316
   Video 20, Frame 77, Value 23.0801
   Video 20, Frame 78, Value 22.5966
   Video 20, Frame 79, Value 21.5928
--------------------------------------------------
Neuron 43 → max=28.7996, min=0.0000, thr=25.9196
   Video 4, Frame 160, Value 26.3480
   Video 4, Frame 161, Value 27.0516
   Video 9, Frame 118, Value 25.9739
   Video 9, Frame 132, Value 26.4779
   Video 9, Frame 196, Value 26.0250
   Video 9, Frame 197, Value 26.0454
   Video 9, Frame 198, Value 26.6164
   Video 9, Frame 199, Value 26.2747
   Video 9, Frame 200, Value 26.2014
   Video 9, Frame 201, Value 26.5555
   Video 9, Frame 202, Value 25.9309
   Video 9, Frame 207, Value 26.0615
   Video 9, Frame 236, Value 26.1587
   Video 9, Frame 246, Value 26.6634
   Video 17, Frame 92, Value 26.5187
   Video 17, Frame 95, Value 26.9425
   Video 17, Frame 96, Value 25.9980
   Video 17, Frame 97, Value 25.9592
   Video 17, Frame 98, Value 26.6739
   Video 17, Frame 100, Value 26.3995
   Video 17, Frame 105, Value 25.9529
   Video 17, Frame 106, Value 26.3693
   Video 17, Frame 109, Value 26.6371
   Video 17, Frame 113, Value 28.0458
   Video 17, Frame 114, Value 26.2111
   Video 17, Frame 115, Value 26.6728
   Video 17, Frame 121, Value 28.3304
   Video 17, Frame 122, Value 27.9328
   Video 17, Frame 123, Value 28.2725
   Video 17, Frame 124, Value 28.7996
   Video 17, Frame 125, Value 28.5552
   Video 17, Frame 129, Value 26.8866
   Video 17, Frame 130, Value 26.0164
   Video 17, Frame 131, Value 27.9509
   Video 17, Frame 132, Value 26.0209
   Video 17, Frame 137, Value 26.3174
   Video 17, Frame 141, Value 26.1520
   Video 17, Frame 146, Value 26.4849
   Video 17, Frame 157, Value 26.0083
   Video 17, Frame 161, Value 25.9449
   Video 17, Frame 162, Value 26.2403
   Video 19, Frame 187, Value 25.9334
   Video 19, Frame 198, Value 26.0089
   Video 19, Frame 201, Value 27.5537
   Video 19, Frame 202, Value 26.6330
   Video 19, Frame 206, Value 26.2333
   Video 19, Frame 209, Value 26.2607
   Video 19, Frame 211, Value 26.1409
   Video 19, Frame 233, Value 26.5502
   Video 19, Frame 262, Value 26.2440
   Video 27, Frame 115, Value 26.2142
   Video 27, Frame 142, Value 26.4430
   Video 27, Frame 143, Value 26.0288
   Video 27, Frame 145, Value 26.0114
   Video 27, Frame 157, Value 26.8555
   Video 27, Frame 159, Value 26.7713
   Video 27, Frame 160, Value 26.8942
   Video 27, Frame 161, Value 27.4164
   Video 27, Frame 162, Value 25.9499
   Video 27, Frame 164, Value 25.9841
   Video 27, Frame 165, Value 26.9334
   Video 27, Frame 166, Value 26.3360
   Video 27, Frame 167, Value 26.4052
   Video 27, Frame 168, Value 26.4587
   Video 27, Frame 169, Value 26.7196
   Video 27, Frame 170, Value 26.0746
   Video 27, Frame 177, Value 26.9199
   Video 27, Frame 178, Value 26.8820
   Video 27, Frame 179, Value 27.0118
   Video 27, Frame 180, Value 26.2402
   Video 27, Frame 181, Value 27.1169
   Video 27, Frame 182, Value 26.6579
   Video 27, Frame 184, Value 26.4065
   Video 27, Frame 185, Value 27.5005
   Video 27, Frame 186, Value 27.1519
   Video 27, Frame 187, Value 28.5077
   Video 27, Frame 188, Value 27.2754
   Video 27, Frame 189, Value 27.7203
   Video 27, Frame 190, Value 27.0633
   Video 30, Frame 321, Value 26.0148
   Video 34, Frame 260, Value 26.7434
   Video 34, Frame 261, Value 27.6210
   Video 34, Frame 262, Value 26.9427
   Video 34, Frame 263, Value 28.1462
   Video 34, Frame 265, Value 27.3651
   Video 34, Frame 266, Value 26.6595
   Video 34, Frame 267, Value 28.2906
   Video 34, Frame 268, Value 26.0653
   Video 34, Frame 269, Value 26.7413
   Video 34, Frame 270, Value 26.8976
   Video 34, Frame 271, Value 27.2081
   Video 34, Frame 274, Value 26.6168
   Video 34, Frame 278, Value 26.9807
   Video 34, Frame 284, Value 27.3276
   Video 34, Frame 288, Value 26.0555
   Video 34, Frame 292, Value 26.6724
   Video 34, Frame 296, Value 26.2043
   Video 37, Frame 125, Value 26.4315
   Video 37, Frame 126, Value 26.0648
   Video 37, Frame 134, Value 26.1322
   Video 37, Frame 135, Value 26.6159
   Video 37, Frame 143, Value 27.4046
   Video 37, Frame 144, Value 26.1951
   Video 37, Frame 145, Value 26.5908
   Video 37, Frame 146, Value 26.1925
   Video 37, Frame 148, Value 26.1840
   Video 37, Frame 150, Value 25.9277
   Video 37, Frame 153, Value 26.3477
   Video 37, Frame 154, Value 26.9442
   Video 37, Frame 155, Value 26.6962
   Video 37, Frame 169, Value 26.0331
   Video 37, Frame 338, Value 26.0633
   Video 37, Frame 339, Value 26.1360
   Video 37, Frame 345, Value 25.9318
   Video 37, Frame 360, Value 26.2666
   Video 37, Frame 363, Value 26.0186
   Video 37, Frame 374, Value 26.7222
   Video 37, Frame 383, Value 26.0189
   Video 37, Frame 391, Value 25.9823
   Video 37, Frame 392, Value 26.5721
   Video 37, Frame 611, Value 27.4578
   Video 37, Frame 613, Value 26.0520
   Video 37, Frame 614, Value 26.7852
--------------------------------------------------
Neuron 44 → max=16.2128, min=0.0000, thr=14.5915
   Video 0, Frame 598, Value 14.6061
   Video 17, Frame 675, Value 14.7537
   Video 17, Frame 1053, Value 14.7173
   Video 17, Frame 1067, Value 14.8372
   Video 17, Frame 1068, Value 14.8195
   Video 17, Frame 1070, Value 15.9064
   Video 17, Frame 1071, Value 15.1746
   Video 17, Frame 1072, Value 15.5899
   Video 17, Frame 1073, Value 15.0547
   Video 19, Frame 801, Value 14.6083
   Video 19, Frame 813, Value 14.7926
   Video 20, Frame 963, Value 15.0221
   Video 20, Frame 964, Value 14.9532
   Video 20, Frame 971, Value 14.6219
   Video 20, Frame 1079, Value 15.1748
   Video 20, Frame 1085, Value 14.6602
   Video 20, Frame 1090, Value 15.3255
   Video 20, Frame 1093, Value 14.7052
   Video 24, Frame 1087, Value 14.6184
   Video 24, Frame 1091, Value 14.6435
   Video 28, Frame 796, Value 14.9792
   Video 30, Frame 3595, Value 14.6311
   Video 31, Frame 959, Value 15.4236
   Video 31, Frame 960, Value 14.7138
   Video 31, Frame 961, Value 14.7333
   Video 31, Frame 962, Value 14.7240
   Video 31, Frame 963, Value 14.7299
   Video 31, Frame 965, Value 14.6671
   Video 31, Frame 966, Value 15.0922
   Video 31, Frame 967, Value 15.1777
   Video 31, Frame 968, Value 15.0716
   Video 31, Frame 974, Value 15.4109
   Video 31, Frame 975, Value 14.9415
   Video 31, Frame 976, Value 14.6091
   Video 34, Frame 271, Value 14.7067
   Video 34, Frame 526, Value 14.6853
   Video 34, Frame 678, Value 15.5894
   Video 34, Frame 680, Value 14.7251
   Video 34, Frame 684, Value 14.5927
   Video 34, Frame 686, Value 15.7255
   Video 34, Frame 687, Value 14.7247
   Video 34, Frame 692, Value 14.6180
   Video 34, Frame 694, Value 14.9078
   Video 34, Frame 695, Value 14.6297
   Video 34, Frame 1114, Value 14.6245
   Video 34, Frame 1119, Value 14.7070
   Video 34, Frame 1120, Value 15.1270
   Video 34, Frame 1122, Value 15.1453
   Video 34, Frame 1124, Value 14.6573
   Video 34, Frame 1127, Value 14.7901
   Video 34, Frame 1128, Value 15.7316
   Video 34, Frame 1130, Value 14.7913
   Video 37, Frame 575, Value 14.8751
   Video 37, Frame 577, Value 14.7472
   Video 37, Frame 579, Value 15.0144
   Video 37, Frame 581, Value 14.5971
   Video 37, Frame 582, Value 14.7372
   Video 37, Frame 583, Value 14.8437
   Video 37, Frame 586, Value 14.6976
   Video 37, Frame 587, Value 15.2204
   Video 37, Frame 591, Value 14.8315
   Video 37, Frame 593, Value 14.9947
   Video 37, Frame 833, Value 15.1917
   Video 37, Frame 835, Value 14.7402
   Video 37, Frame 841, Value 14.8752
   Video 37, Frame 907, Value 14.8101
   Video 37, Frame 908, Value 15.0080
   Video 37, Frame 913, Value 14.9352
   Video 37, Frame 914, Value 14.9397
   Video 37, Frame 916, Value 15.7355
   Video 37, Frame 917, Value 14.8051
   Video 37, Frame 921, Value 14.9331
   Video 37, Frame 1120, Value 14.6567
   Video 37, Frame 1301, Value 14.7777
   Video 37, Frame 1304, Value 14.8165
   Video 37, Frame 1426, Value 14.9430
   Video 37, Frame 1428, Value 14.7900
   Video 38, Frame 1024, Value 15.1487
   Video 38, Frame 1025, Value 14.9029
   Video 38, Frame 1031, Value 14.9515
   Video 38, Frame 1033, Value 15.2896
   Video 38, Frame 1037, Value 14.6037
   Video 39, Frame 1084, Value 15.2437
   Video 39, Frame 1088, Value 14.6342
   Video 39, Frame 1090, Value 15.7662
   Video 39, Frame 1091, Value 15.2075
   Video 39, Frame 1092, Value 15.4140
   Video 39, Frame 1093, Value 14.8685
   Video 39, Frame 1094, Value 15.0350
   Video 39, Frame 1096, Value 15.1833
   Video 39, Frame 1097, Value 15.4266
   Video 39, Frame 1124, Value 14.6571
   Video 39, Frame 1144, Value 15.0387
   Video 39, Frame 1149, Value 14.7714
   Video 39, Frame 1150, Value 15.0457
   Video 39, Frame 1155, Value 15.5966
   Video 39, Frame 1156, Value 15.3033
   Video 39, Frame 1157, Value 16.1854
   Video 39, Frame 1161, Value 14.7677
   Video 39, Frame 1165, Value 15.4487
   Video 39, Frame 1169, Value 14.7048
   Video 39, Frame 1171, Value 15.7523
   Video 39, Frame 1172, Value 14.6585
   Video 39, Frame 1173, Value 15.1807
   Video 39, Frame 1174, Value 16.1736
   Video 39, Frame 1175, Value 16.2128
   Video 39, Frame 1177, Value 15.1922
--------------------------------------------------
Neuron 45 → max=27.3020, min=0.0000, thr=24.5718
   Video 9, Frame 1352, Value 25.0314
   Video 19, Frame 1110, Value 27.3020
   Video 19, Frame 1111, Value 26.4116
   Video 19, Frame 1114, Value 25.5541
   Video 19, Frame 1118, Value 24.9954
--------------------------------------------------
Neuron 46 → max=7.4642, min=0.0000, thr=6.7177
   Video 1, Frame 2155, Value 6.9264
   Video 4, Frame 2006, Value 6.8135
   Video 4, Frame 2009, Value 6.9477
   Video 4, Frame 2011, Value 7.0673
   Video 4, Frame 2012, Value 6.9827
   Video 4, Frame 2013, Value 6.9319
   Video 4, Frame 2014, Value 6.8901
   Video 4, Frame 2199, Value 6.8759
   Video 4, Frame 2200, Value 6.7434
   Video 4, Frame 2201, Value 6.9688
   Video 4, Frame 2202, Value 6.9200
   Video 4, Frame 2203, Value 7.1264
   Video 4, Frame 2204, Value 7.3338
   Video 4, Frame 2205, Value 7.3130
   Video 4, Frame 2206, Value 7.2362
   Video 4, Frame 2207, Value 7.4019
   Video 4, Frame 2208, Value 6.8306
   Video 4, Frame 2209, Value 6.8214
   Video 8, Frame 2055, Value 6.9253
   Video 8, Frame 2056, Value 7.1117
   Video 8, Frame 2059, Value 6.9721
   Video 8, Frame 2060, Value 6.7510
   Video 8, Frame 2061, Value 7.0725
   Video 8, Frame 2062, Value 6.8421
   Video 8, Frame 2063, Value 7.4642
   Video 8, Frame 2064, Value 7.0854
   Video 8, Frame 2065, Value 6.8905
   Video 8, Frame 2066, Value 7.1542
   Video 8, Frame 2070, Value 6.7733
   Video 8, Frame 2071, Value 6.9192
   Video 8, Frame 2072, Value 7.2928
   Video 8, Frame 2073, Value 7.3570
   Video 8, Frame 2074, Value 7.0619
   Video 8, Frame 2075, Value 7.1257
   Video 8, Frame 2076, Value 7.0709
   Video 8, Frame 2077, Value 6.9793
   Video 8, Frame 2080, Value 6.7356
   Video 8, Frame 2081, Value 6.9878
   Video 8, Frame 2083, Value 6.9085
   Video 8, Frame 2088, Value 6.8821
   Video 8, Frame 2089, Value 7.0112
   Video 8, Frame 2090, Value 6.9068
   Video 9, Frame 1669, Value 7.1467
   Video 9, Frame 1670, Value 7.3025
   Video 9, Frame 1671, Value 7.0910
   Video 9, Frame 1673, Value 7.0219
   Video 9, Frame 1674, Value 7.2429
   Video 29, Frame 2090, Value 7.0387
   Video 29, Frame 2091, Value 7.1343
--------------------------------------------------
Neuron 47 → max=13.5241, min=0.0000, thr=12.1717
   Video 4, Frame 308, Value 12.2400
   Video 8, Frame 456, Value 12.2913
   Video 8, Frame 460, Value 12.3214
   Video 10, Frame 279, Value 12.3259
   Video 10, Frame 288, Value 12.2673
   Video 10, Frame 291, Value 12.5163
   Video 10, Frame 293, Value 12.1773
   Video 10, Frame 295, Value 12.4897
   Video 10, Frame 296, Value 12.4486
   Video 16, Frame 157, Value 12.3683
   Video 16, Frame 274, Value 12.6257
   Video 17, Frame 98, Value 12.3550
   Video 17, Frame 100, Value 12.5454
   Video 19, Frame 187, Value 12.7647
   Video 20, Frame 64, Value 12.7558
   Video 20, Frame 65, Value 13.1867
   Video 20, Frame 66, Value 12.8638
   Video 20, Frame 67, Value 13.1378
   Video 20, Frame 68, Value 13.5241
   Video 20, Frame 69, Value 13.5207
   Video 20, Frame 70, Value 13.2645
   Video 20, Frame 71, Value 12.8988
   Video 20, Frame 72, Value 12.5126
   Video 20, Frame 73, Value 12.6033
   Video 20, Frame 74, Value 12.5740
   Video 20, Frame 75, Value 12.5364
   Video 20, Frame 76, Value 12.3480
   Video 20, Frame 77, Value 12.5359
   Video 20, Frame 78, Value 12.3150
   Video 20, Frame 260, Value 12.4222
   Video 27, Frame 328, Value 12.1791
   Video 27, Frame 330, Value 12.5119
   Video 30, Frame 316, Value 12.2442
   Video 30, Frame 320, Value 12.3283
   Video 30, Frame 486, Value 12.2238
   Video 34, Frame 261, Value 12.5963
   Video 34, Frame 263, Value 12.8170
   Video 34, Frame 265, Value 12.3272
   Video 34, Frame 267, Value 12.2983
   Video 34, Frame 278, Value 12.6577
   Video 34, Frame 280, Value 12.1842
   Video 34, Frame 284, Value 12.3516
   Video 34, Frame 292, Value 12.5575
   Video 34, Frame 294, Value 12.5579
   Video 34, Frame 296, Value 12.2532
   Video 37, Frame 357, Value 12.3508
   Video 37, Frame 359, Value 12.2799
   Video 37, Frame 374, Value 12.4500
   Video 37, Frame 379, Value 12.2462
   Video 37, Frame 383, Value 12.4063
--------------------------------------------------
Neuron 48 → max=11.6638, min=0.0000, thr=10.4974
   Video 4, Frame 1625, Value 10.6029
   Video 5, Frame 1808, Value 10.7944
   Video 5, Frame 1812, Value 10.8923
   Video 5, Frame 1813, Value 10.6125
   Video 9, Frame 1366, Value 10.6608
   Video 9, Frame 1369, Value 10.8969
   Video 9, Frame 1370, Value 10.8600
   Video 9, Frame 1371, Value 10.9722
   Video 9, Frame 1374, Value 10.5070
   Video 9, Frame 1378, Value 10.7924
   Video 9, Frame 1380, Value 10.5069
   Video 15, Frame 1496, Value 10.7510
   Video 15, Frame 1497, Value 10.6358
   Video 15, Frame 1498, Value 11.3272
   Video 15, Frame 1499, Value 11.0014
   Video 15, Frame 1500, Value 10.7430
   Video 15, Frame 1501, Value 10.8739
   Video 19, Frame 1110, Value 10.9596
   Video 20, Frame 735, Value 10.8951
   Video 20, Frame 1202, Value 10.5521
   Video 28, Frame 646, Value 10.5071
   Video 29, Frame 1168, Value 10.7234
   Video 29, Frame 1169, Value 10.6752
   Video 29, Frame 1178, Value 10.7229
   Video 29, Frame 1179, Value 10.8660
   Video 29, Frame 1183, Value 10.8040
   Video 29, Frame 1184, Value 10.8557
   Video 29, Frame 1185, Value 10.8040
   Video 29, Frame 1186, Value 10.7854
   Video 29, Frame 1187, Value 11.2007
   Video 29, Frame 1188, Value 10.8592
   Video 29, Frame 1189, Value 10.6461
   Video 29, Frame 1190, Value 10.5422
   Video 29, Frame 1191, Value 10.8557
   Video 29, Frame 1192, Value 10.6490
   Video 29, Frame 1193, Value 10.8810
   Video 29, Frame 1194, Value 11.1520
   Video 29, Frame 1195, Value 10.7914
   Video 29, Frame 1196, Value 10.9052
   Video 29, Frame 1197, Value 10.5725
   Video 29, Frame 1198, Value 10.8918
   Video 29, Frame 1199, Value 10.9974
   Video 29, Frame 1200, Value 10.8797
   Video 29, Frame 1201, Value 11.1274
   Video 29, Frame 1202, Value 11.3458
   Video 29, Frame 1205, Value 10.6412
   Video 29, Frame 1206, Value 10.8177
   Video 29, Frame 1207, Value 11.1283
   Video 29, Frame 1208, Value 11.3882
   Video 29, Frame 1209, Value 11.4319
   Video 29, Frame 1210, Value 11.5536
   Video 29, Frame 1211, Value 11.2262
   Video 29, Frame 1212, Value 10.9590
   Video 29, Frame 1213, Value 11.1689
   Video 29, Frame 1214, Value 11.2764
   Video 29, Frame 1215, Value 11.0092
   Video 29, Frame 1216, Value 11.3924
   Video 29, Frame 1217, Value 11.6638
   Video 29, Frame 1218, Value 11.2977
   Video 29, Frame 1219, Value 11.3751
   Video 29, Frame 1221, Value 10.7283
   Video 29, Frame 1224, Value 10.7946
   Video 29, Frame 1225, Value 10.5806
   Video 29, Frame 1227, Value 10.6783
   Video 29, Frame 1240, Value 10.5316
   Video 29, Frame 1241, Value 10.6543
   Video 29, Frame 1242, Value 10.8357
   Video 29, Frame 1245, Value 10.7538
   Video 33, Frame 1142, Value 11.0525
   Video 33, Frame 1143, Value 10.8389
   Video 34, Frame 1834, Value 10.5161
   Video 34, Frame 1835, Value 10.7827
   Video 34, Frame 1836, Value 11.3703
   Video 34, Frame 1837, Value 11.0271
   Video 34, Frame 1838, Value 11.3724
--------------------------------------------------
Neuron 49 → max=19.4873, min=0.0000, thr=17.5386
   Video 9, Frame 1348, Value 18.2405
   Video 9, Frame 1351, Value 18.5149
   Video 9, Frame 1352, Value 19.4873
   Video 9, Frame 1353, Value 19.4589
   Video 9, Frame 1354, Value 18.5135
   Video 9, Frame 1355, Value 18.5921
   Video 9, Frame 1356, Value 17.6721
   Video 9, Frame 1357, Value 18.1344
   Video 9, Frame 1366, Value 18.9536
   Video 9, Frame 1368, Value 17.8268
   Video 19, Frame 1110, Value 17.9247
   Video 19, Frame 1111, Value 17.5515
--------------------------------------------------
Neuron 50 → max=15.9555, min=0.0000, thr=14.3600
   Video 4, Frame 2006, Value 14.5484
   Video 4, Frame 2007, Value 15.0727
   Video 4, Frame 2008, Value 15.0105
   Video 4, Frame 2009, Value 15.5640
   Video 4, Frame 2011, Value 14.8285
   Video 4, Frame 2012, Value 14.5091
   Video 4, Frame 2013, Value 14.9427
   Video 4, Frame 2014, Value 14.4317
   Video 4, Frame 2019, Value 14.8126
   Video 4, Frame 2021, Value 15.2331
   Video 4, Frame 2134, Value 14.4108
   Video 4, Frame 2139, Value 14.5249
   Video 4, Frame 2145, Value 14.6557
   Video 4, Frame 2147, Value 14.7054
   Video 4, Frame 2149, Value 14.7349
   Video 4, Frame 2150, Value 14.7144
   Video 4, Frame 2151, Value 14.4985
   Video 4, Frame 2152, Value 14.6851
   Video 4, Frame 2156, Value 14.5831
   Video 4, Frame 2157, Value 14.6999
   Video 4, Frame 2201, Value 14.6128
   Video 4, Frame 2202, Value 14.6360
   Video 4, Frame 2203, Value 14.6536
   Video 4, Frame 2204, Value 15.0058
   Video 4, Frame 2205, Value 14.8247
   Video 4, Frame 2206, Value 14.6071
   Video 4, Frame 2207, Value 14.4860
   Video 4, Frame 2209, Value 14.5279
   Video 9, Frame 1661, Value 14.6062
   Video 9, Frame 1662, Value 14.8115
   Video 9, Frame 1663, Value 14.8223
   Video 9, Frame 1664, Value 14.9595
   Video 9, Frame 1665, Value 14.8160
   Video 9, Frame 1666, Value 14.5970
   Video 9, Frame 1668, Value 14.5491
   Video 9, Frame 1669, Value 14.8833
   Video 9, Frame 1670, Value 15.4098
   Video 9, Frame 1671, Value 15.9555
   Video 9, Frame 1673, Value 14.8941
   Video 9, Frame 1674, Value 14.6963
--------------------------------------------------
Neuron 51 → max=16.3380, min=0.0000, thr=14.7042
   Video 19, Frame 1110, Value 16.3380
   Video 19, Frame 1111, Value 15.8440
   Video 19, Frame 1113, Value 14.7496
   Video 19, Frame 1114, Value 15.5569
   Video 19, Frame 1122, Value 15.0526
   Video 33, Frame 1142, Value 14.9149
   Video 37, Frame 2453, Value 14.7259
   Video 37, Frame 2455, Value 14.9384
--------------------------------------------------
Neuron 52 → max=11.3427, min=0.0000, thr=10.2084
   Video 4, Frame 2203, Value 10.4055
   Video 4, Frame 2204, Value 10.5627
   Video 4, Frame 2205, Value 10.2979
   Video 4, Frame 2207, Value 10.3094
   Video 4, Frame 2208, Value 10.3598
   Video 4, Frame 2209, Value 10.5101
   Video 9, Frame 1666, Value 10.2736
   Video 9, Frame 1668, Value 10.6646
   Video 9, Frame 1669, Value 11.0518
   Video 9, Frame 1670, Value 11.3427
   Video 9, Frame 1671, Value 10.4631
--------------------------------------------------
Neuron 53 → max=3.5019, min=0.0000, thr=3.1517
   Video 4, Frame 2137, Value 3.2653
   Video 4, Frame 2139, Value 3.4412
   Video 4, Frame 2155, Value 3.3776
   Video 4, Frame 2156, Value 3.3450
   Video 4, Frame 2157, Value 3.2706
   Video 4, Frame 2204, Value 3.3220
   Video 4, Frame 2206, Value 3.5019
   Video 4, Frame 2207, Value 3.2698
   Video 6, Frame 4537, Value 3.1699
   Video 6, Frame 4540, Value 3.3306
--------------------------------------------------
Neuron 54 → max=23.4065, min=0.0000, thr=21.0658
   Video 19, Frame 1110, Value 22.5595
   Video 19, Frame 1111, Value 22.0239
   Video 19, Frame 1114, Value 21.6709
   Video 19, Frame 1118, Value 21.1131
   Video 21, Frame 1093, Value 21.7060
   Video 33, Frame 1127, Value 21.3595
   Video 33, Frame 1134, Value 21.0840
   Video 33, Frame 1135, Value 21.8685
   Video 33, Frame 1137, Value 21.1659
   Video 33, Frame 1138, Value 22.5179
   Video 33, Frame 1140, Value 21.2760
   Video 33, Frame 1142, Value 23.4065
   Video 33, Frame 1143, Value 21.3920
   Video 33, Frame 1146, Value 21.7537
   Video 37, Frame 2455, Value 21.1287
--------------------------------------------------
Neuron 55 → max=7.3888, min=0.0000, thr=6.6499
   Video 4, Frame 1878, Value 6.6690
   Video 4, Frame 2320, Value 6.6636
   Video 6, Frame 4501, Value 6.6554
   Video 6, Frame 4502, Value 6.8753
   Video 6, Frame 4503, Value 6.7966
   Video 6, Frame 4504, Value 7.1445
   Video 9, Frame 1669, Value 7.0542
   Video 9, Frame 1670, Value 7.0339
   Video 9, Frame 1671, Value 7.3888
   Video 9, Frame 1673, Value 7.1969
   Video 9, Frame 1674, Value 6.8814
   Video 9, Frame 1675, Value 6.7325
   Video 19, Frame 1419, Value 6.7682
   Video 19, Frame 1428, Value 6.8380
   Video 19, Frame 1429, Value 6.9625
   Video 19, Frame 1430, Value 6.9617
   Video 19, Frame 1431, Value 7.1020
   Video 19, Frame 1432, Value 6.9262
   Video 19, Frame 1433, Value 6.8029
   Video 19, Frame 1434, Value 6.9085
   Video 19, Frame 1435, Value 6.8459
   Video 19, Frame 1443, Value 6.8422
   Video 19, Frame 1444, Value 7.1029
   Video 28, Frame 2331, Value 6.7180
   Video 28, Frame 2333, Value 6.7608
   Video 28, Frame 2334, Value 6.7739
   Video 28, Frame 2335, Value 6.9636
   Video 28, Frame 2336, Value 6.9634
   Video 28, Frame 2337, Value 6.7995
--------------------------------------------------
Neuron 56 → max=11.3769, min=0.0000, thr=10.2392
   Video 9, Frame 1661, Value 10.4150
   Video 9, Frame 1662, Value 11.0337
   Video 9, Frame 1663, Value 10.8994
   Video 9, Frame 1664, Value 10.8175
   Video 9, Frame 1665, Value 10.7137
   Video 9, Frame 1666, Value 10.4959
   Video 9, Frame 1667, Value 10.5990
   Video 9, Frame 1668, Value 11.0569
   Video 9, Frame 1669, Value 10.8525
   Video 9, Frame 1670, Value 11.3769
   Video 9, Frame 1671, Value 10.3568
   Video 19, Frame 1110, Value 10.2688
   Video 19, Frame 1406, Value 10.3768
--------------------------------------------------
Neuron 57 → max=17.4965, min=0.0000, thr=15.7468
   Video 0, Frame 1532, Value 16.0712
   Video 0, Frame 1534, Value 15.9570
   Video 4, Frame 2007, Value 15.8930
   Video 4, Frame 2008, Value 15.8150
   Video 4, Frame 2009, Value 16.1060
   Video 4, Frame 2011, Value 15.9488
   Video 5, Frame 1807, Value 15.8856
   Video 5, Frame 1808, Value 16.6837
   Video 14, Frame 1812, Value 16.2509
   Video 14, Frame 1813, Value 16.5664
   Video 14, Frame 1814, Value 16.0299
   Video 19, Frame 1110, Value 17.4965
   Video 19, Frame 1111, Value 16.8610
   Video 19, Frame 1114, Value 16.1017
   Video 19, Frame 1122, Value 15.7590
   Video 20, Frame 65, Value 15.7743
   Video 20, Frame 68, Value 16.5710
   Video 20, Frame 69, Value 16.6132
   Video 20, Frame 70, Value 16.7823
   Video 20, Frame 71, Value 16.0649
   Video 20, Frame 72, Value 16.0217
   Video 20, Frame 73, Value 15.9782
   Video 20, Frame 74, Value 16.2195
   Video 20, Frame 75, Value 16.0319
   Video 20, Frame 76, Value 15.8523
   Video 20, Frame 77, Value 15.8168
   Video 20, Frame 1194, Value 15.8811
   Video 21, Frame 1089, Value 15.8145
   Video 21, Frame 1090, Value 15.8599
   Video 21, Frame 1093, Value 16.4330
   Video 34, Frame 1838, Value 16.4128
--------------------------------------------------
Neuron 58 → max=20.0529, min=0.0000, thr=18.0476
   Video 6, Frame 2788, Value 18.2414
   Video 6, Frame 2808, Value 18.5924
   Video 6, Frame 2810, Value 18.7940
   Video 6, Frame 2811, Value 18.3099
   Video 6, Frame 2812, Value 18.7500
   Video 6, Frame 3371, Value 19.0065
   Video 6, Frame 3372, Value 18.5099
   Video 8, Frame 2053, Value 18.2476
   Video 8, Frame 2071, Value 19.6579
   Video 8, Frame 2072, Value 19.2055
   Video 8, Frame 2073, Value 19.3562
   Video 8, Frame 2074, Value 19.6296
   Video 8, Frame 2075, Value 19.8221
   Video 8, Frame 2076, Value 19.3646
   Video 8, Frame 2077, Value 18.2884
   Video 8, Frame 2081, Value 18.2315
   Video 8, Frame 2082, Value 18.6515
   Video 8, Frame 2218, Value 18.6262
   Video 8, Frame 2219, Value 18.0710
   Video 8, Frame 2222, Value 19.0337
   Video 8, Frame 2223, Value 18.9622
   Video 8, Frame 2225, Value 18.6036
   Video 8, Frame 2226, Value 18.7110
   Video 8, Frame 2229, Value 18.4661
   Video 8, Frame 2282, Value 18.2153
   Video 8, Frame 2293, Value 18.1099
   Video 20, Frame 1101, Value 18.3872
   Video 20, Frame 1136, Value 18.7842
   Video 20, Frame 1138, Value 19.0042
   Video 21, Frame 767, Value 18.3135
   Video 21, Frame 971, Value 18.0484
   Video 21, Frame 985, Value 18.7766
   Video 21, Frame 988, Value 18.5906
   Video 28, Frame 874, Value 18.2142
   Video 28, Frame 875, Value 18.0621
   Video 29, Frame 1443, Value 18.1276
   Video 29, Frame 1843, Value 19.1239
   Video 29, Frame 1844, Value 19.3517
   Video 29, Frame 1845, Value 19.7185
   Video 29, Frame 1846, Value 18.4728
   Video 29, Frame 1852, Value 18.1074
   Video 29, Frame 1854, Value 18.2884
   Video 29, Frame 1875, Value 18.5080
   Video 29, Frame 1877, Value 18.0653
   Video 29, Frame 1883, Value 18.1169
   Video 29, Frame 1897, Value 18.6286
   Video 29, Frame 1898, Value 18.5116
   Video 29, Frame 1899, Value 18.5472
   Video 29, Frame 1905, Value 18.3756
   Video 29, Frame 1910, Value 18.0538
   Video 29, Frame 1917, Value 18.3546
   Video 29, Frame 1918, Value 19.8018
   Video 29, Frame 1919, Value 18.6579
   Video 29, Frame 1920, Value 19.1027
